city,country,collected_at_utc,temperature_c,humidity_percent,pressure_hpa,wind_speed_ms,aqi,pm2_5,pm10,no2,o3,co
London,GB,2026-07-30T15:30:07.388303+00:00,27.75,44,1014,2.68,2,6.35,14.93,4.53,88.38,96.92
Paris,FR,2026-07-30T15:30:07.466908+00:00,30.24,51,1016,3.75,3,8.85,9.88,0.63,103.97,115.92
Berlin,DE,2026-07-30T15:30:07.552969+00:00,38.02,22,1009,2.68,3,4.79,5.53,3.0,123.64,101.6
Madrid,ES,2026-07-30T15:30:07.636580+00:00,37.33,17,1015,0.45,3,18.59,76.88,0.17,87.23,91.13
Rome,IT,2026-07-30T15:30:07.729556+00:00,35.98,33,1015,2.68,3,11.66,22.97,0.35,117.59,170.53
Amsterdam,NL,2026-07-30T15:30:07.809257+00:00,24.5,64,1015,0.89,3,10.96,14.68,7.01,102.66,124.39
Brussels,BE,2026-07-30T15:30:07.887855+00:00,22.62,81,1016,4.33,2,9.24,11.28,1.22,93.19,107.92
Vienna,AT,2026-07-30T15:30:07.955422+00:00,31.71,30,1017,3.36,3,7.06,7.74,1.43,116.18,103.76
Copenhagen,DK,2026-07-30T15:30:08.035749+00:00,28.97,50,1011,5.85,3,10.43,11.48,6.38,123.94,133.38
Prague,CZ,2026-07-30T15:30:08.115697+00:00,36.54,21,1015,3.13,3,3.72,4.37,1.66,104.94,91.82
